2010-01-03 23:13:21,437 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1186-1262535201046-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:13:21,515 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:21,531 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:22,156 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-01-03 23:13:22,312 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-01-03 23:13:22,437 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:22,781 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-01-03 23:13:24,515 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-01-03 23:13:26,187 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:26,359 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:26,500 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:26,531 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:35,750 | INFO  | ActiveMQ Message Broker (localhost, ID:VStorm83-1186-1262535201046-0:0) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-01-03 23:13:37,484 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-01-03 23:13:37,484 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-01-03 23:13:37,640 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1186-1262535201046-0:0) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-02-28 16:37:14,437 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@1d9e282 | org.apache.activemq.broker.BrokerService | main
2010-02-28 16:37:15,984 | INFO  | Replayed 1 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2010-02-28 16:37:16,000 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2010-02-28 16:37:16,000 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2010-02-28 16:37:16,421 | INFO  | Listening for connections at: tcp://vstorm83:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2010-02-28 16:37:16,421 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2010-02-28 16:37:16,421 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1318-1267349836046-0:0) started | org.apache.activemq.broker.BrokerService | main
2010-02-28 16:37:16,500 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2010-02-28 16:37:16,515 | INFO  | jetty-6.1.9 | org.mortbay.log | main
2010-02-28 16:37:17,109 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2010-02-28 16:37:17,265 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2010-02-28 16:37:17,390 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | main
2010-02-28 16:37:17,593 | INFO  | Initializing Spring root WebApplicationContext | /camel | main
2010-02-28 16:37:19,203 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | main
2010-02-28 16:37:20,953 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | main
2010-02-28 16:37:21,093 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | main
2010-02-28 16:37:21,234 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | main
2010-02-28 16:37:21,265 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | main
2010-02-28 16:38:06,453 | INFO  | ActiveMQ Message Broker (localhost, ID:vstorm83-1318-1267349836046-0:0) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-02-28 16:38:07,734 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-02-28 16:38:07,734 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-02-28 16:38:08,109 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1318-1267349836046-0:0) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-02-28 16:40:03,265 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@ebf068 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:40:04,828 | INFO  | Replayed 1 operations from the journal in 0.032 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2010-02-28 16:40:04,843 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:40:04,843 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:40:05,296 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-02-28 16:40:05,296 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:40:05,296 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1328-1267350004875-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:40:05,375 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:05,390 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:05,968 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-02-28 16:40:06,125 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-02-28 16:40:06,250 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:06,468 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-02-28 16:40:08,062 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:40:09,765 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:09,921 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:10,062 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:40:10,093 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:51:05,734 | INFO  | ActiveMQ Message Broker (localhost, ID:vstorm83-1328-1267350004875-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:51:06,734 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:51:06,750 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:51:06,859 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1328-1267350004875-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:53:18,468 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@ebf068 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:20,062 | INFO  | Replayed 1 operations from the journal in 0.031 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2010-02-28 16:53:20,078 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:20,078 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:20,531 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-02-28 16:53:20,546 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:53:20,546 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1356-1267350800109-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:20,609 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:20,625 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:21,218 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-02-28 16:53:21,375 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-02-28 16:53:21,484 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:21,703 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-02-28 16:53:23,312 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
